Individual,Farmer ID,Farms,Age,Gender,Current employment status,"If ""other"" employment status, please describe",Income currency,Monthly Household Income (Gross),Highest Level of Education,Number of Years Living in Country,Year started gardening (in general),Number of years participated in this garden/farm,Year started participating in this farm/garden,"Since participating in garden/farm, amount of vegetables eaten per week","Since participating in garden/farm, amount of fruits eaten per week","Since participating in garden/farm, amount of meals prepared at home","Have you tried any food from the garden/farm (vegetables, herbs, or fruits) that you had never eaten previously?",Portions of vegetables or fruit eaten each day?,"During growing season, percentage of vegetables and fruits that household eats which come from the garden/farm?",Hours spent in garden/farm per week,"Of hours in the garden, # hours actively gardening",Fraction of time actively gardening,"Importance of having access to fresh vegetables, fruits, or herbs",Importance of learning new things,Importance of sharing what I know with others,Importance of being able to be outdoors,Importance of having a chance to interact with others,Importance of engaging in a fun activity,Importance of contributing to my community,Importance of saving money,Importance of relaxing or releasing stress,Importance of getting some physical exercise,Importance of improving the environment,Importance of changing the way food is produced,Importance of gaining employment skills,Other important motivation,"Importance of ""Other"" motivation",Effects of gardening/farming on my interactions with others,Effects of gardening/farming on my overall mood,Effects of gardening/farming on my diet and nutrition,Effects of gardening/farming on my physical well-being,Effects of gardening/farming on my self-confidence,Effects of gardening/farming on my employment prospects,"Effects of gardening/farming on my other daily activities (work, school, child care)",Other effects of gardening/farming on me,"Importance of ""Other"" effect",City,Record complete?
16,16,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",22,Male,Fully employed,,Dollar,1001 - 1500,High School,,,Less than 1 year,2019,Increased a little,Increased a little,Increased a lot,Tried 1-2 foods never eaten before,01-Feb,None (0%),6,6,100.00%,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Fairly important,4,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,New York,
17,17,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",19,Female,I don't want to answer,,Dollar,1001 - 1500,Basic School,,,Less than 1 year,2019,Increased a lot,Increased a little,Increased a little,Tried 3 or more foods never eaten before,03-Apr,50%,20,17,85.00%,Very important,Very important,Very important,Fairly important,Very important,Neutral,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,,,Strong negative effect,Slight negative effect,Strong negative effect,Strong negative effect,Strong negative effect,Strong negative effect,Strong negative effect,,,New York,
18,18,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",22,Male,I don't want to answer,,Dollar,1001 - 1500,I don't want to answer,,,Less than 1 year,,Increased a little,Increased a lot,Increased a lot,Don't know,03-Apr,50%,38,38,100.00%,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,5,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Slight positive effect,,,New York,
19,19,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",18,Female,Unemployed,,Dollar,I don't want to answer,I don't want to answer,,,Less than 1 year,,Increased a little,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,None (0%),40,40,100.00%,Very important,Very important,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight negative effect,,,New York,
20,20,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",23,Male,Fully employed,,Dollar,I don't want to answer,Vocational Training,,,Less than 1 year,,Increased a lot,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,50%,30,25,83.30%,Very important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,New York,
21,21,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",18,Male,I don't want to answer,,Dollar,I don't want to answer,High School,,,Less than 1 year,2019,Increased a little,Increased a little,,Tried 1-2 foods never eaten before,01-Feb,None (0%),8,7,87.50%,Fairly important,Fairly important,Neutral,Neutral,Neutral,Neutral,Very important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,,,No effect at all,No effect at all,No effect at all,Slight positive effect,No effect at all,Slight positive effect,Slight negative effect,,,New York,
22,22,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",22,Male,Part-time employment,,Dollar,I don't want to answer,High School,,,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),40,40,100.00%,Neutral,Very important,Neutral,Neutral,Neutral,Neutral,Very important,Very important,Neutral,Very important,Very important,Very important,Very important,,,Strong positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,,,New York,
23,23,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",21,Male,Unemployed,,Dollar,I don't want to answer,High School,,,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,None,None (0%),8,7,87.50%,Neutral,Neutral,Not so important,Fairly important,Neutral,Not so important,Not so important,Fairly important,Neutral,Very important,Neutral,Neutral,Very important,,,,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Slight positive effect,No effect at all,,,New York,
24,24,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",20,Female,Full time student,,Dollar,I don't want to answer,I don't want to answer,,,Less than 1 year,,Increased a lot,Increased a lot,Decreased a little,No,None,None (0%),0,0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,New York,
25,25,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",20,Female,Fully employed,,Dollar,Less than 500,Vocational Training,,,Less than 1 year,2019,Increased a little,Increased a little,Increased a lot,Tried 3 or more foods never eaten before,None,25%,40,2,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,New York,
26,26,"Forest,Bay View,Mariner's Harbor,Red Hook,Wagner,Howard",19,Female,Fully employed,,Dollar,I don't want to answer,Vocational Training,,,Less than 1 year,,Increased a little,Increased a little,Increased a little,Tried 3 or more foods never eaten before,01-Feb,None (0%),40,30,75.00%,Very important,Fairly important,Very important,Fairly important,Neutral,Neutral,Fairly important,Neutral,Fairly important,Neutral,Fairly important,Fairly important,Neutral,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Strong positive effect,,,New York,
98,98,Jedno?? 1,68,Male,Retired,,Euro,500 - 1000,University degree,Always lived in this country,2004,more than 10 years,2004,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,25%,20,20,100.00%,Very important,Fairly important,Fairly important,Very important,Fairly important,Not important at all,Fairly important,Not so important,Very important,Fairly important,Fairly important,Very important,Neutral,,,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,Slight positive effect,,,Gorzow Wlkp,
99,99,Jedno?? 2,72,Male,I don't want to answer,,Euro,Less than 500,High School,Always lived in this country,1997,more than 10 years,1997,Increased a lot,Increased a lot,Increased a lot,Unable to answer because have participated in the garden for so long,01-Feb,25%,8,4,50.00%,Fairly important,Not so important,Very important,Fairly important,Very important,Neutral,Not so important,Very important,Very important,Very important,Fairly important,Not so important,Very important,,,Slight positive effect,Slight positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Slight negative effect,Strong positive effect,,,Gorzow Wlkp,
100,100,Jedno?? 3,44,Male,Fully employed,,Euro,500 - 1000,High School,Always lived in this country,2010,more than 5 years but less than 10 years,2010,Increased a little,Increased a lot,Decreased a little,Tried 3 or more foods never eaten before,Don't know,75%,8,3,37.50%,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Neutral,Very important,Not so important,Fairly important,Neutral,Fairly important,,,,Strong positive effect,Slight positive effect,,Slight positive effect,No effect at all,Slight negative effect,,,Gorzow Wlkp,
87,87,Malwa 1,72,Male,Retired,,Euro,500 - 1000,University degree,Always lived in this country,1987,more than 10 years,1987,Remained about the same,Decreased a little,Remained about the same,Unable to answer because have participated in the garden for so long,03-Apr,25%,18,10,55.60%,Very important,Fairly important,Fairly important,Very important,Fairly important,Neutral,Fairly important,Not so important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Slight positive effect,,,Gorzow Wlkp,
88,88,Malwa 4,64,Female,Retired,,Euro,500 - 1000,High School,Always lived in this country,1978,more than 10 years,1978,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,03-Apr,75%,10,8,80.00%,Very important,Fairly important,Not so important,Very important,Very important,Not so important,Very important,Neutral,Very important,Neutral,Very important,Very important,Neutral,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
86,86,Malwa 5,72,Male,Retired,,Euro,Less than 500,Vocational Training,Always lived in this country,1978,more than 10 years,1978,Increased a lot,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,75%,30,26,86.70%,Very important,Fairly important,Fairly important,Very important,Fairly important,Not so important,Fairly important,Very important,Very important,Fairly important,Very important,No response,Neutral,,,No effect at all,Slight positive effect,No effect at all,Strong positive effect,Slight positive effect,No effect at all,Slight negative effect,,,Gorzow Wlkp,
77,77,Metalowiec 1,42,Male,Fully employed,,Euro,500 - 1000,High School,Always lived in this country,1990,more than 5 years but less than 10 years,2011,Increased a lot,Increased a lot,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,05-Jun,75%,27,8,29.60%,Very important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Neutral,Very important,Fairly important,Very important,Very important,Neutral,,,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
76,76,Metalowiec 2,54,Female,Fully employed,,Euro,1501 - 2000,University degree,Always lived in this country,2006,more than 10 years,2006,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,7 or more,50%,10,7,70.00%,Not so important,Very important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Not important at all,Very important,Fairly important,Not so important,Not so important,Not important at all,,,No effect at all,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
78,78,Metalowiec 3,54,Female,Unemployed,,Euro,I don't want to answer,High School,>20 years,2015,1-5 years,2017,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,01-Feb,75%,40,35,87.50%,Very important,Fairly important,Fairly important,Very important,Neutral,Neutral,Neutral,Fairly important,Very important,Neutral,Very important,Very important,Fairly important,nature experience,Very important,Slight positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,relaks,Strong positive effect,Gorzow Wlkp,
75,75,Metalowiec 5,34,Male,Fully employed,,Euro,500 - 1000,Vocational Training,Always lived in this country,2018,1-5 years,2018,Remained about the same,Remained about the same,Increased a little,Tried 1-2 foods never eaten before,01-Feb,25%,30,15,50.00%,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Neutral,,,Strong positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
85,85,Nowalijka 1,71,Male,Part-time employment,,Euro,500 - 1000,High School,I don't want to answer,1999,more than 10 years,1999,Increased a lot,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,7 or more,50%,40,25,62.50%,Very important,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,No response,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
30,30,Sutton Community Farm,60,Male,Retired,,Pound,"more than 4,000",Vocational Training,>20 years,2012,more than 5 years but less than 10 years,2014,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,7 or more,25%,15,8,53.30%,Neutral,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Not so important,Fairly important,Fairly important,Very important,Very important,Not important at all,,,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,No effect at all,No effect at all,No effect at all,,,London,
31,31,Sutton Community Farm,59,Female,Part-time employment,,,I don't want to answer,University degree,Always lived in this country,1996,1-5 years,2016,Increased a little,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,05-Jun,25%,3,3,100.00%,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Not so important,,,Slight positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Slight positive effect,No effect at all,Slight positive effect,,,London,
32,32,Sutton Community Farm,35,Male,Fully employed,,,I don't want to answer,University degree,Always lived in this country,2016,1-5 years,2016,Increased a lot,Increased a little,Increased a lot,Unable to answer because have participated in the garden for so long,01-Feb,Don't know,3,2,66.70%,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,,,London,
33,33,Sutton Community Farm,66,Female,Retired,,,I don't want to answer,University degree,>20 years,2016,1-5 years,2017,Increased a little,Remained about the same,Increased a little,No,05-Jun,25%,4,0,0.00%,Very important,Fairly important,Fairly important,Not important at all,Very important,Fairly important,Very important,Neutral,Fairly important,Neutral,Very important,Fairly important,Neutral,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,,,London,
34,34,Sutton Community Farm,20,Female,"Part-time employment,Full time student",,Pound,Less than 500,High School,Always lived in this country,2009,Less than 1 year,1,Increased a lot,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),4,3,75.00%,Very important,Neutral,Neutral,Very important,Not so important,Fairly important,Very important,Neutral,Fairly important,Very important,Very important,Very important,Not so important,,,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,Slight positive effect,Slight positive effect,,,London,
35,35,Sutton Community Farm,31,Male,Fully employed,,Pound,1501 - 2000,Vocational Training,Always lived in this country,2017,1-5 years,2017,Increased a lot,Increased a little,Increased a little,Tried 1-2 foods never eaten before,03-Apr,25%,5,4,80.00%,Fairly important,Very important,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Not so important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,London,
36,36,Sutton Community Farm,26,Male,Part-time employment,,Pound,1501 - 2000,University degree,Always lived in this country,2018,Less than 1 year,1,Increased a lot,Increased a little,Increased a little,Tried 3 or more foods never eaten before,03-Apr,25%,7,5,71.40%,Fairly important,Very important,Neutral,Very important,Fairly important,Fairly important,Fairly important,Neutral,Very important,Fairly important,Fairly important,Fairly important,Neutral,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Strong positive effect,,,London,
37,37,Sutton Community Farm,36,Female,,,,I don't want to answer,University degree,Always lived in this country,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,05-Jun,25%,4,3,75.00%,Very important,Fairly important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Not so important,Learning about food production,Fairly important,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,No effect at all,Slight positive effect,No effect at all,,,London,
38,38,Sutton Community Farm,63,Female,Part-time employment,,Pound,500 - 1000,University degree,>20 years,1985,more than 5 years but less than 10 years,,Increased a lot,Increased a little,Remained about the same,Tried 3 or more foods never eaten before,05-Jun,All (100%),5,5,100.00%,Very important,Fairly important,Fairly important,Very important,Fairly important,Neutral,Neutral,Neutral,Fairly important,Fairly important,Very important,Very important,Neutral,Contributing,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,London,
83,83,Tulipan 1,67,Female,Retired,,Euro,Less than 500,High School,Always lived in this country,1982,more than 10 years,1982,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,All (100%),38,20,52.60%,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,"health, contacts with people",Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,No effect at all,,,Gorzow Wlkp,
79,79,Tulipan 2,68,Male,Retired,,Euro,Less than 500,University degree,Always lived in this country,1986,more than 10 years,1986,Increased a lot,Remained about the same,Don't Know,Unable to answer because have participated in the garden for so long,Don't know,50%,20,15,75.00%,Fairly important,Neutral,Fairly important,Very important,Neutral,Not so important,Neutral,Not so important,Fairly important,Fairly important,Fairly important,Fairly important,Neutral,,,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
81,81,Tulipan 3,66,Female,Retired,,Euro,I don't want to answer,Vocational Training,Always lived in this country,1988,more than 10 years,1988,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,50%,30,25,83.30%,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
84,84,Tulipan 4,70,Male,Retired,,Euro,500 - 1000,University degree,Always lived in this country,1978,more than 10 years,1988,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,75%,24,24,100.00%,Fairly important,Neutral,Neutral,Very important,Not so important,Not so important,Not so important,Neutral,Neutral,Neutral,Neutral,Fairly important,Neutral,,,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
82,82,Tulipan 5,62,Female,Retired,,Euro,500 - 1000,High School,Always lived in this country,1983,more than 10 years,1983,Increased a lot,Increased a little,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,50%,30,25,83.30%,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Neutral,Not so important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
80,80,Tulipan 6,63,Female,Retired,,Euro,500 - 1000,Vocational Training,Always lived in this country,1985,more than 10 years,1985,Unable to answer because have participated in the garden for so long,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,75%,20,15,75.00%,Very important,Fairly important,Neutral,Very important,Very important,Fairly important,Neutral,Not so important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,,,Gorzow Wlkp,
101,101,Tulipan 7,33,Female,Fully employed,,Euro,I don't want to answer,University degree,>20 years,2010,more than 5 years but less than 10 years,2010,Increased a lot,Increased a lot,Increased a little,Tried 1-2 foods never eaten before,01-Feb,50%,10,5,50.00%,Fairly important,Fairly important,Neutral,Very important,Fairly important,Neutral,Fairly important,Not so important,Fairly important,Fairly important,Very important,Very important,Fairly important,,,No effect at all,Slight positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,,,,Gorzow Wlkp,
102,102,Slade Gardens,30,Female,I don't want to answer,,Pound,I don't want to answer,University degree,<1 year,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,None (0%),2,2,100.00%,Neutral,Very important,Neutral,Very important,Very important,Very important,Very important,Neutral,Very important,Very important,Very important,Neutral,Neutral,,,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,No effect at all,No effect at all,,,London,
103,103,Slade Gardens,70,Male,Retired,,Pound,I don't want to answer,High School,Always lived in this country,1950,more than 10 years,2009,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,25%,10,6,60.00%,Very important,Very important,Fairly important,No response,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Mental health,No response,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,London,
104,104,Slade Gardens,50,Male,Fully employed,,Pound,"more than 4,000",University degree,Always lived in this country,1994,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,No,05-Jun,25%,2,2,100.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neutral,Fairly important,Fairly important,Very important,Very important,Not important at all,,,No effect at all,Slight positive effect,No effect at all,Slight positive effect,No effect at all,No effect at all,Slight negative effect,,,London,
105,105,Slade Gardens,22,Male,"Unemployed,Full time student",,Pound,500 - 1000,University degree,3-5 years ,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,25%,5,4,80.00%,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Having time to garden,Very important,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,My networking,Strong positive effect,London,
70,70,Ustronie 1,36,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,2009,more than 10 years,2009,Decreased a little,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,25%,40,3,7.50%,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,,,Gorzow Wlkp,
72,72,Ustronie 2,49,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,2018,1-5 years,2018,Increased a lot,Remained about the same,Remained about the same,No,01-Feb,25%,18,10,55.60%,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
74,74,Ustronie 3,65,Female,Retired,,Euro,Less than 500,High School,Always lived in this country,2002,more than 10 years,2002,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,75%,40,30,75.00%,Very important,Not so important,Fairly important,Very important,Very important,Neutral,Fairly important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Neutral,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
71,71,Ustronie 4 ,62,Male,Fully employed,,Euro,500 - 1000,Vocational Training,Always lived in this country,1992,more than 10 years,1992,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,7 or more,50%,48,4,8.30%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,Gorzow Wlkp,
73,73,Ustronie 5,64,Female,Retired,,Euro,Less than 500,Basic School,Always lived in this country,,more than 5 years but less than 10 years,,Increased a lot,Increased a lot,Remained about the same,No,03-Apr,75%,60,25,41.70%,Very important,Not so important,Fairly important,Very important,Very important,Neutral,Fairly important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
41,41,"Bay View,Howard,Mariner's Harbor,Red Hook,Forest,Wagner",20,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,2019,Less than 1 year,,Increased a little,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,25%,8,7,87.50%,Fairly important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,,,Slight positive effect,No effect at all,Slight positive effect,No effect at all,Slight positive effect,Strong positive effect,Slight positive effect,,,New York,
42,42,"Bay View,Howard,Mariner's Harbor,Red Hook,Forest,Wagner",19,Female,Fully employed,,Dollar,Less than 500,High School,10-20 years,2019,Less than 1 year,,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Tried 1-2 foods never eaten before,Don't know,25%,40,8,20.00%,Very important,Very important,Very important,Neutral,Neutral,Neutral,Neutral,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Grit,Strong positive effect,New York,
106,106,Nowalijka 6,79,Male,Retired,,Euro,I don't want to answer,High School,Always lived in this country,2010,more than 5 years but less than 10 years,2010,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,75%,36,20,55.60%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,Gorzow Wlkp,
107,107,Gorzow 4 ,56,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,1985,more than 10 years,1985,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,75%,8,8,100.00%,Very important,Very important,Fairly important,Very important,Neutral,Not so important,Not so important,Fairly important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
108,108,Gorzow 5,56,Female,Fully employed,,Euro,500 - 1000,High School,Always lived in this country,1995,more than 10 years,1995,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Remained about the same,Unable to answer because have participated in the garden for so long,03-Apr,25%,10,10,100.00%,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
109,109,Metalowiec 4,25,Male,Fully employed,,Euro,500 - 1000,Vocational Training,Always lived in this country,2018,1-5 years,2018,Don't Know,Don't Know,Decreased a lot,No,01-Feb,None (0%),42,24,57.10%,Fairly important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,,,Gorzow Wlkp,
110,110,Nowalijka 4,69,Male,Retired,,Euro,I don't want to answer,Vocational Training,Always lived in this country,1988,more than 10 years,1988,Increased a little,Increased a lot,Increased a little,Unable to answer because have participated in the garden for so long,7 or more,50%,18,12,66.70%,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
